NAMA,TIPE,PINJAMAN,TENOR,Total Pinjaman,Cicilan
AHMAD,C,55000000,18,63250000.0,3513888.888888889
RIANA,B,100000000,48,112000000.0,2333333.3333333335
RENITA,A,33000000,24,36300000.0,1512500.0
DIDIN,C,25000000,24,28750000.0,1197916.6666666667
DUDUNG,C,75000000,36,86250000.0,2395833.3333333335
RETNO,C,45000000,24,51750000.0,2156250.0
FAJAR,C,65000000,24,74750000.0,3114583.3333333335
EKA,A,60000000,36,66000000.0,1833333.3333333333
BERLIAN,A,85000000,60,93500000.0,1558333.3333333333
RONI,B,35000000,24,39200000.0,1633333.3333333333
JUANDA,A,60000000,48,66000000.0,1375000.0
DANANG,C,65000000,48,74750000.0,1557291.6666666667
ANDIKA,A,35000000,24,38500000.0,1604166.6666666667
