ID_NASABAH,Nama,Tipe,Pinjaman,Tenor,Total Pinjaman,Cicilan
10,Ahmad,C,55000000,18,63250000,5270833.333333333
12,Riana,B,100000000,48,112000000,9333333.333333334
14,Renita,A,33000000,24,36300000,3025000.0
17,Didin,C,25000000,24,28750000,2395833.3333333335
18,Dudung,C,75000000,36,86250000,7187500.0
33,Retno,C,45000000,24,51750000,4312500.0
39,Fajar,C,65000000,24,74750000,6229166.666666667
51,Eka,A,60000000,36,66000000,5500000.0
52,Berlian,A,85000000,60,93500000,7791666.666666667
55,Roni,B,35000000,24,39200000,3266666.6666666665
65,Juanda,A,60000000,48,66000000,5500000.0
71,Danang,C,65000000,48,74750000,6229166.666666667
86,Andika,A,35000000,24,38500000,3208333.3333333335
