ID_NASABAH,NAMA,TIPE,PINJAMAN,TENOR,Total Pinjaman,Cicilan
10,AHMAD,C,55000000,18,63249999.99999999,36666667
12,RIANA,B,100000000,48,112000000.00000001,25000000
14,RENITA,A,33000000,24,36300000.0,16500000
17,DIDIN,C,25000000,24,28749999.999999996,12500000
18,DUDUNG,C,75000000,36,86250000.0,25000000
33,RETNO,C,45000000,24,51749999.99999999,22500000
39,FAJAR,C,65000000,24,74750000.0,32500000
51,EKA,A,60000000,36,66000000.00000001,20000000
52,BERLIAN,A,85000000,60,93500000.00000001,17000000
55,RONI,B,35000000,24,39200000.00000001,17500000
65,JUANDA,A,60000000,48,66000000.00000001,15000000
71,DANANG,C,65000000,48,74750000.0,16250000
86,ANDIKA,A,35000000,24,38500000.0,17500000
