ID_NASABAH,NAMA,TIPE,PINJAMAN,TENOR,Total_Pinjaman,Cicilan
10,AHMAD,C,55000000,18,63249999.99999999,3513888.8888888885
12,RIANA,B,100000000,48,112000000.00000001,2333333.3333333335
14,RENITA,A,33000000,24,36300000.0,1512500.0
17,DIDIN,C,25000000,24,28749999.999999996,1197916.6666666665
18,DUDUNG,C,75000000,36,86250000.0,2395833.3333333335
33,RETNO,C,45000000,24,51749999.99999999,2156249.9999999995
39,FAJAR,C,65000000,24,74750000.0,3114583.3333333335
51,EKA,A,60000000,36,66000000.00000001,1833333.3333333335
52,BERLIAN,A,85000000,60,93500000.00000001,1558333.3333333335
55,RONI,B,35000000,24,39200000.00000001,1633333.3333333337
65,JUANDA,A,60000000,48,66000000.00000001,1375000.0000000002
71,DANANG,C,65000000,48,74750000.0,1557291.6666666667
86,ANDIKA,A,35000000,24,38500000.0,1604166.6666666667
