ID_NASABAH,NAMA,TIPE,PINJAMAN,TENOR,Total Pinjaman,Cicilan
10,AHMAD,C,55000000,18,"0      63250000.0
1     115000000.0
2      37950000.0
3      28750000.0
4      86250000.0
5      51750000.0
6      74750000.0
7      69000000.0
8      97750000.0
9      40250000.0
10     69000000.0
11     74750000.0
12     40250000.0
Name: PINJAMAN, dtype: float64","0     5270833.33
1     9583333.33
2     3162500.00
3     2395833.33
4     7187500.00
5     4312500.00
6     6229166.67
7     5750000.00
8     8145833.33
9     3354166.67
10    5750000.00
11    6229166.67
12    3354166.67
Name: PINJAMAN, dtype: float64"
12,RIANA,B,100000000,48,"0      61600000.0
1     112000000.0
2      36960000.0
3      28000000.0
4      84000000.0
5      50400000.0
6      72800000.0
7      67200000.0
8      95200000.0
9      39200000.0
10     67200000.0
11     72800000.0
12     39200000.0
Name: PINJAMAN, dtype: float64","0     5133333.33
1     9333333.33
2     3080000.00
3     2333333.33
4     7000000.00
5     4200000.00
6     6066666.67
7     5600000.00
8     7933333.33
9     3266666.67
10    5600000.00
11    6066666.67
12    3266666.67
Name: PINJAMAN, dtype: float64"
14,RENITA,A,33000000,24,"0      60500000.0
1     110000000.0
2      36300000.0
3      27500000.0
4      82500000.0
5      49500000.0
6      71500000.0
7      66000000.0
8      93500000.0
9      38500000.0
10     66000000.0
11     71500000.0
12     38500000.0
Name: PINJAMAN, dtype: float64","0     5041666.67
1     9166666.67
2     3025000.00
3     2291666.67
4     6875000.00
5     4125000.00
6     5958333.33
7     5500000.00
8     7791666.67
9     3208333.33
10    5500000.00
11    5958333.33
12    3208333.33
Name: PINJAMAN, dtype: float64"
17,DIDIN,C,25000000,24,"0      63250000.0
1     115000000.0
2      37950000.0
3      28750000.0
4      86250000.0
5      51750000.0
6      74750000.0
7      69000000.0
8      97750000.0
9      40250000.0
10     69000000.0
11     74750000.0
12     40250000.0
Name: PINJAMAN, dtype: float64","0     5270833.33
1     9583333.33
2     3162500.00
3     2395833.33
4     7187500.00
5     4312500.00
6     6229166.67
7     5750000.00
8     8145833.33
9     3354166.67
10    5750000.00
11    6229166.67
12    3354166.67
Name: PINJAMAN, dtype: float64"
18,DUDUNG,C,75000000,36,"0      63250000.0
1     115000000.0
2      37950000.0
3      28750000.0
4      86250000.0
5      51750000.0
6      74750000.0
7      69000000.0
8      97750000.0
9      40250000.0
10     69000000.0
11     74750000.0
12     40250000.0
Name: PINJAMAN, dtype: float64","0     5270833.33
1     9583333.33
2     3162500.00
3     2395833.33
4     7187500.00
5     4312500.00
6     6229166.67
7     5750000.00
8     8145833.33
9     3354166.67
10    5750000.00
11    6229166.67
12    3354166.67
Name: PINJAMAN, dtype: float64"
33,RETNO,C,45000000,24,"0      63250000.0
1     115000000.0
2      37950000.0
3      28750000.0
4      86250000.0
5      51750000.0
6      74750000.0
7      69000000.0
8      97750000.0
9      40250000.0
10     69000000.0
11     74750000.0
12     40250000.0
Name: PINJAMAN, dtype: float64","0     5270833.33
1     9583333.33
2     3162500.00
3     2395833.33
4     7187500.00
5     4312500.00
6     6229166.67
7     5750000.00
8     8145833.33
9     3354166.67
10    5750000.00
11    6229166.67
12    3354166.67
Name: PINJAMAN, dtype: float64"
39,FAJAR,C,65000000,24,"0      63250000.0
1     115000000.0
2      37950000.0
3      28750000.0
4      86250000.0
5      51750000.0
6      74750000.0
7      69000000.0
8      97750000.0
9      40250000.0
10     69000000.0
11     74750000.0
12     40250000.0
Name: PINJAMAN, dtype: float64","0     5270833.33
1     9583333.33
2     3162500.00
3     2395833.33
4     7187500.00
5     4312500.00
6     6229166.67
7     5750000.00
8     8145833.33
9     3354166.67
10    5750000.00
11    6229166.67
12    3354166.67
Name: PINJAMAN, dtype: float64"
51,EKA,A,60000000,36,"0      60500000.0
1     110000000.0
2      36300000.0
3      27500000.0
4      82500000.0
5      49500000.0
6      71500000.0
7      66000000.0
8      93500000.0
9      38500000.0
10     66000000.0
11     71500000.0
12     38500000.0
Name: PINJAMAN, dtype: float64","0     5041666.67
1     9166666.67
2     3025000.00
3     2291666.67
4     6875000.00
5     4125000.00
6     5958333.33
7     5500000.00
8     7791666.67
9     3208333.33
10    5500000.00
11    5958333.33
12    3208333.33
Name: PINJAMAN, dtype: float64"
52,BERLIAN,A,85000000,60,"0      60500000.0
1     110000000.0
2      36300000.0
3      27500000.0
4      82500000.0
5      49500000.0
6      71500000.0
7      66000000.0
8      93500000.0
9      38500000.0
10     66000000.0
11     71500000.0
12     38500000.0
Name: PINJAMAN, dtype: float64","0     5041666.67
1     9166666.67
2     3025000.00
3     2291666.67
4     6875000.00
5     4125000.00
6     5958333.33
7     5500000.00
8     7791666.67
9     3208333.33
10    5500000.00
11    5958333.33
12    3208333.33
Name: PINJAMAN, dtype: float64"
55,RONI,B,35000000,24,"0      61600000.0
1     112000000.0
2      36960000.0
3      28000000.0
4      84000000.0
5      50400000.0
6      72800000.0
7      67200000.0
8      95200000.0
9      39200000.0
10     67200000.0
11     72800000.0
12     39200000.0
Name: PINJAMAN, dtype: float64","0     5133333.33
1     9333333.33
2     3080000.00
3     2333333.33
4     7000000.00
5     4200000.00
6     6066666.67
7     5600000.00
8     7933333.33
9     3266666.67
10    5600000.00
11    6066666.67
12    3266666.67
Name: PINJAMAN, dtype: float64"
