ID_NASABAH,NAMA,TIPE,PINJAMAN,TENOR,TOTAL_PINJAMAN,CICILAN
10,AHMAD,C,55000000,18,67375000.0,5614583.33
12,RIANA,B,100000000,48,148000000.0,12333333.33
14,RENITA,A,33000000,24,39600000.0,3300000.0
17,DIDIN,C,25000000,24,32500000.0,2708333.33
18,DUDUNG,C,75000000,36,108750000.0,9062500.0
33,RETNO,C,45000000,24,58500000.0,4875000.0
39,FAJAR,C,65000000,24,84500000.0,7041666.67
51,EKA,A,60000000,36,78000000.0,6500000.0
52,BERLIAN,A,85000000,60,127500000.0,10625000.0
55,RONI,B,35000000,24,43400000.0,3616666.67
65,JUANDA,A,60000000,48,84000000.0,7000000.0
71,DANANG,C,65000000,48,104000000.0,8666666.67
86,ANDIKA,A,35000000,24,42000000.0,3500000.0
