ID_NASABAH,NAMA,TIPE,PINJAMAN,TENOR,Total Pinjaman
10,AHMAD,C,55000000,18,"0      63250000.0
1     115000000.0
2      37950000.0
3      28750000.0
4      86250000.0
5      51750000.0
6      74750000.0
7      69000000.0
8      97750000.0
9      40250000.0
10     69000000.0
11     74750000.0
12     40250000.0
Name: PINJAMAN, dtype: float64"
12,RIANA,B,100000000,48,"0      61600000.0
1     112000000.0
2      36960000.0
3      28000000.0
4      84000000.0
5      50400000.0
6      72800000.0
7      67200000.0
8      95200000.0
9      39200000.0
10     67200000.0
11     72800000.0
12     39200000.0
Name: PINJAMAN, dtype: float64"
14,RENITA,A,33000000,24,"0      60500000.0
1     110000000.0
2      36300000.0
3      27500000.0
4      82500000.0
5      49500000.0
6      71500000.0
7      66000000.0
8      93500000.0
9      38500000.0
10     66000000.0
11     71500000.0
12     38500000.0
Name: PINJAMAN, dtype: float64"
17,DIDIN,C,25000000,24,"0      63250000.0
1     115000000.0
2      37950000.0
3      28750000.0
4      86250000.0
5      51750000.0
6      74750000.0
7      69000000.0
8      97750000.0
9      40250000.0
10     69000000.0
11     74750000.0
12     40250000.0
Name: PINJAMAN, dtype: float64"
18,DUDUNG,C,75000000,36,"0      63250000.0
1     115000000.0
2      37950000.0
3      28750000.0
4      86250000.0
5      51750000.0
6      74750000.0
7      69000000.0
8      97750000.0
9      40250000.0
10     69000000.0
11     74750000.0
12     40250000.0
Name: PINJAMAN, dtype: float64"
33,RETNO,C,45000000,24,"0      63250000.0
1     115000000.0
2      37950000.0
3      28750000.0
4      86250000.0
5      51750000.0
6      74750000.0
7      69000000.0
8      97750000.0
9      40250000.0
10     69000000.0
11     74750000.0
12     40250000.0
Name: PINJAMAN, dtype: float64"
39,FAJAR,C,65000000,24,"0      63250000.0
1     115000000.0
2      37950000.0
3      28750000.0
4      86250000.0
5      51750000.0
6      74750000.0
7      69000000.0
8      97750000.0
9      40250000.0
10     69000000.0
11     74750000.0
12     40250000.0
Name: PINJAMAN, dtype: float64"
51,EKA,A,60000000,36,"0      60500000.0
1     110000000.0
2      36300000.0
3      27500000.0
4      82500000.0
5      49500000.0
6      71500000.0
7      66000000.0
8      93500000.0
9      38500000.0
10     66000000.0
11     71500000.0
12     38500000.0
Name: PINJAMAN, dtype: float64"
52,BERLIAN,A,85000000,60,"0      60500000.0
1     110000000.0
2      36300000.0
3      27500000.0
4      82500000.0
5      49500000.0
6      71500000.0
7      66000000.0
8      93500000.0
9      38500000.0
10     66000000.0
11     71500000.0
12     38500000.0
Name: PINJAMAN, dtype: float64"
55,RONI,B,35000000,24,"0      61600000.0
1     112000000.0
2      36960000.0
3      28000000.0
4      84000000.0
5      50400000.0
6      72800000.0
7      67200000.0
8      95200000.0
9      39200000.0
10     67200000.0
11     72800000.0
12     39200000.0
Name: PINJAMAN, dtype: float64"
65,JUANDA,A,60000000,48,"0      60500000.0
1     110000000.0
2      36300000.0
3      27500000.0
4      82500000.0
5      49500000.0
6      71500000.0
7      66000000.0
8      93500000.0
9      38500000.0
10     66000000.0
11     71500000.0
12     38500000.0
Name: PINJAMAN, dtype: float64"
71,DANANG,C,65000000,48,"0      63250000.0
1     115000000.0
2      37950000.0
3      28750000.0
4      86250000.0
5      51750000.0
6      74750000.0
7      69000000.0
8      97750000.0
9      40250000.0
10     69000000.0
11     74750000.0
12     40250000.0
Name: PINJAMAN, dtype: float64"
86,ANDIKA,A,35000000,24,"0      60500000.0
1     110000000.0
2      36300000.0
3      27500000.0
4      82500000.0
5      49500000.0
6      71500000.0
7      66000000.0
8      93500000.0
9      38500000.0
10     66000000.0
11     71500000.0
12     38500000.0
Name: PINJAMAN, dtype: float64"
