ID_NASABAH,NAMA,TIPE,PINJAMAN,TENOR,Total Pinjaman,Cicilan
10,AHMAD,C,55000000,18,63250000.0,5270833.333333333
12,RIANA,B,100000000,48,112000000.0,9333333.333333334
14,RENITA,A,33000000,24,36300000.0,3025000.0
17,DIDIN,C,25000000,24,28750000.0,2395833.3333333335
18,DUDUNG,C,75000000,36,86250000.0,7187500.0
33,RETNO,C,45000000,24,51750000.0,4312500.0
39,FAJAR,C,65000000,24,74750000.0,6229166.666666667
51,EKA,A,60000000,36,66000000.0,5500000.0
52,BERLIAN,A,85000000,60,93500000.0,7791666.666666667
55,RONI,B,35000000,24,39200000.0,3266666.6666666665
65,JUANDA,A,60000000,48,66000000.0,5500000.0
71,DANANG,C,65000000,48,74750000.0,6229166.666666667
86,ANDIKA,A,35000000,24,38500000.0,3208333.3333333335
